model,pk,fields.name,fields.user,fields.age,fields.date_of_birth,fields.email,fields.aadhar_no,fields.ration_no,fields.gender,fields.caste,fields.education,fields.annual_income,fields.address,fields.scheme
base.applicant,1,Jeffrey Gibbs,,29,30-05-1998,nroberson@example.org,9.70E+11,8425425211,Female,ST,BE,53606,"884 Makayla Mountains Apt. 056
East Elizabeth, PA 09251",scheme_A
base.applicant,2,Jamie Hancock,,30,18-02-2002,monique46@example.org,9.53E+11,7196716764,Female,MBC,BCA,44139,"805 Robert Lake
Hessland, ID 91743",scheme_A
base.applicant,3,Michael Wright,,27,11-08-1997,joebrown@example.net,3.54E+11,2567438706,Female,OBC,MCA,24032,"13208 Reyes Squares
Levyville, AS 50462",scheme_A
base.applicant,4,Deanna Miller,,25,29-12-1995,qholt@example.net,1.76E+11,9910928420,Female,OBC,Others,31064,"64725 Timothy Fork
Hernandezstad, MN 76612",scheme_A
base.applicant,5,Kimberly Perry,,19,26-09-1999,samantha66@example.com,5.97E+11,3443571359,Female,ST,MCA,69168,"759 Martin Alley
New Joshua, IL 52243",scheme_A
base.applicant,6,Marco Spears,,19,04-09-2003,dhamilton@example.net,6.60E+11,6627684261,Female,MBC,BE,71905,"738 Perry Port Suite 044
Lake Ashley, MS 77144",scheme_A
base.applicant,7,Jeffrey Anthony,,26,06-02-2003,jill43@example.com,1.72E+11,8579720821,Female,OBC,MCA,29623,"Unit 0995 Box 3345
DPO AP 84198",scheme_A
base.applicant,8,Heather Wright,,29,21-07-2003,hcarson@example.org,3.99E+11,3769992639,Female,ST,Others,61383,"87836 Andrew Flat Apt. 735
Lake Dianaside, NC 67893",scheme_A
base.applicant,9,Jonathan Turner,,28,20-08-1993,mariapham@example.com,8.43E+11,4122991493,Female,SC,BCA,31557,"769 Mays Walks
Matthewstad, AR 01505",scheme_A
base.applicant,10,Timothy Hall,,30,26-09-1997,luis64@example.com,2.99E+11,4550641454,Female,OBC,Others,49860,"42008 Jerry Road Suite 510
Bridgetview, ME 02212",scheme_A
base.applicant,11,April Turner,,30,07-05-1995,jacobwood@example.net,5.13E+11,9438867316,Female,OBC,BE,55175,"6371 Williamson Square
Port Nicole, NH 91909",scheme_A
base.applicant,12,David Brown,,23,26-08-1994,james07@example.net,5.41E+11,1071478529,Female,ST,BE,67480,"6766 Michael Flat Suite 549
Jeffreyshire, DC 71735",scheme_A
base.applicant,13,Emily Barnes,,19,04-06-1997,angela30@example.com,6.04E+11,7304099203,Female,MBC,MSc,47205,"572 Willis Valleys
Lewismouth, NE 49273",scheme_A
base.applicant,14,Lori Oliver,,23,01-04-1997,darrell89@example.com,7.14E+11,1478102295,Female,MBC,BSc,42401,"810 Jaime Rapids
Reyesmouth, PA 12842",scheme_A
base.applicant,15,Melissa Jones,,22,05-04-2002,cmitchell@example.com,2.39E+11,8521935240,Female,SC,BE,51500,"31184 Smith Isle Suite 270
East Rachelport, AR 60392",scheme_A
base.applicant,16,Stephanie Jones,,19,27-06-1996,andrew09@example.net,7.38E+11,4230138848,Female,OBC,MCA,60496,"65471 Linda Cliffs
North Peterfurt, PW 17098",scheme_A
base.applicant,17,Derrick Harmon,,25,21-03-1998,yolanda16@example.net,8.16E+11,6925337473,Female,ST,BSc,44142,"68828 Dawn Groves Suite 074
Alexanderborough, RI 21110",scheme_A
base.applicant,18,Cindy Stone,,28,22-10-1994,ugraham@example.org,1.64E+11,2062443595,Female,OBC,Others,18516,"811 Price Loaf Apt. 885
North Kristinfurt, DE 17352",scheme_A
base.applicant,19,Caitlin Pham,,19,11-10-1999,howardalexandra@example.org,1.08E+11,7593563139,Female,MBC,BSc,15451,"Unit 5083 Box 1088
DPO AP 29428",scheme_A
base.applicant,20,Vanessa Diaz,,24,28-10-2004,kristen28@example.org,8.90E+11,5819564489,Female,ST,Others,24680,"32693 Henry Rest Suite 106
Davidbury, WI 11917",scheme_A
base.applicant,21,Richard Burton,,18,19-01-2002,pauldennis@example.org,3.19E+11,2533175608,Female,OBC,Others,31062,"67551 Becker Grove
Jacobbury, UT 81630",scheme_A
base.applicant,22,John Robinson,,28,26-07-1993,cameron30@example.net,1.91E+11,3729726253,Female,ST,BE,52692,"273 Kim Ridges Suite 219
Josephmouth, VA 48699",scheme_A
base.applicant,23,Daniel Blake,,18,18-09-2002,krausejohn@example.net,5.86E+11,7039268280,Female,SC,Others,54399,"39482 Camacho Fall
West Nicoleside, NJ 84152",scheme_A
base.applicant,24,Loretta Hunt,,20,09-05-2003,xarmstrong@example.net,1.13E+11,7781951446,Female,OBC,BCA,64518,"6358 Curtis Plains
West Karen, TN 72134",scheme_A
base.applicant,25,Lisa Jackson,,18,12-01-2003,dburgess@example.org,5.72E+11,4295099742,Female,OBC,MCA,11981,"383 Chad Glens
Milesport, VA 93521",scheme_A
