model,pk,fields.name,fields.user,fields.age,fields.date_of_birth,fields.email,fields.aadhar_no,fields.ration_no,fields.gender,fields.caste,fields.education,fields.annual_income,fields.address,fields.scheme
base.applicant,201,Amanda Harris,,27,31-12-1997,rlewis@example.com,7.98839E+11,5990257979,Female,SC,Others,11238,"98856 Clark Streets Apt. 590
Stricklandbury, SD 72925",scheme_A
base.applicant,202,Heather Smith,,27,07-02-2000,corymason@example.net,8.57734E+11,1885632691,Female,SC,BCA,58924,"5089 Kennedy Shoal
Amandaberg, VI 91498",scheme_A
base.applicant,203,Ryan Paul,,30,07-06-1995,bmurray@example.net,3.55947E+11,8502191651,Male,MBC,BSc,41714,"507 Stephanie Mount Apt. 315
Thomasburgh, OH 40726",scheme_A
base.applicant,204,Shaun Sanders,,27,21-03-1998,shannonsanchez@example.org,7.08629E+11,3168952229,Male,MBC,Others,38996,"04885 Nicholas Turnpike Suite 242
Kristinborough, LA 90986",scheme_A
base.applicant,205,Sara Peterson,,24,18-11-2002,michelledavis@example.net,4.84105E+11,2567916079,Male,OBC,MSc,61577,"5142 Ayers Cove
Port Gabriel, NJ 21124",scheme_A
base.applicant,206,Melody Mcdonald,,21,21-08-2000,eileen76@example.net,4.7942E+11,2267715331,Female,SC,BSc,66295,"576 Edward Street
Hickstown, ID 87082",scheme_A
base.applicant,207,John Lucas,,30,01-03-1997,andrew97@example.com,7.63051E+11,6117229027,Female,ST,Others,22212,"8187 Joseph Greens Apt. 213
Mayhaven, GU 21996",scheme_A
base.applicant,208,Cathy Hogan,,21,12-08-1999,michael64@example.org,3.49119E+11,9859144194,Female,OBC,BE,20099,"918 Cheryl Pine Suite 396
Jenningstown, TN 59206",scheme_A
base.applicant,209,Anna Butler,,26,14-06-1997,michael00@example.net,4.29936E+11,2598396212,Male,OBC,BSc,30668,"10577 Benjamin Island
East Sarah, MI 66157",scheme_A
base.applicant,210,Michael Harper,,25,23-12-1993,anthony92@example.net,8.70923E+11,3200716695,Male,ST,BSc,18905,"79933 Kyle Orchard
West Aaronmouth, WA 50788",scheme_A
base.applicant,211,Steven Taylor,,30,03-08-1997,ppadilla@example.org,2.04266E+11,7205805840,Female,SC,MSc,48079,"92146 Frank Trace
North Raymond, OR 40774",scheme_A
base.applicant,212,Stephanie Wilkinson,,23,21-01-2001,jacobdouglas@example.net,5.20777E+11,4162570971,Male,MBC,BSc,34585,"05830 Keller Road
South Jonathanchester, OR 98626",scheme_A
base.applicant,213,Rebecca Hammond,,30,23-10-1999,ericharris@example.org,6.9429E+11,3536765577,Male,MBC,BCA,49503,"330 Summers Heights Apt. 263
East Stephanieborough, DE 23328",scheme_A
base.applicant,214,Martha English,,28,06-11-2000,kochchristine@example.net,6.39716E+11,2376430648,Female,ST,BSc,53041,"686 Lee Bypass
Randolphport, MN 22666",scheme_A
base.applicant,215,Samantha Morales,,30,12-01-1999,luissweeney@example.net,6.99008E+11,8578056664,Female,ST,MSc,20632,"081 Phillips Motorway
Waltonville, ND 86508",scheme_A
base.applicant,216,Ann Singh,,28,18-07-1998,valenzuelalisa@example.net,4.24395E+11,7670268466,Female,OBC,MSc,38519,"4282 Williams Alley
South Carlos, MD 08486",scheme_A
base.applicant,217,Sandra Johnson,,28,20-07-1993,moodysandra@example.org,3.80271E+11,8468448787,Female,OBC,BCA,45937,"448 Jamie River
Hayleyshire, LA 06092",scheme_A
base.applicant,218,Brian Flores,,28,10-05-1993,charlesmoore@example.com,1.43684E+11,9448875003,Female,SC,BE,39505,"Unit 8060 Box 6605
DPO AP 16795",scheme_A
base.applicant,219,Elizabeth Brown,,30,03-01-1994,vaughnallison@example.com,5.46092E+11,4092175334,Male,SC,MSc,54765,"35032 Virginia Junction Apt. 387
Christinetown, MD 95556",scheme_A
base.applicant,220,Karen Jones,,26,25-05-1994,marcbailey@example.org,9.16426E+11,1747566023,Male,ST,MSc,48987,"2177 Thomas Road
South Timothyborough, AR 34926",scheme_A
base.applicant,221,Adam Rodriguez,,24,09-04-2000,cnewton@example.org,2.03598E+11,3863708992,Female,SC,MCA,22613,"21203 Williams Cove Suite 368
North Brenda, WV 93376",scheme_A
base.applicant,222,Heather Rivera,,29,07-07-2001,jasonowen@example.net,7.13532E+11,7864387035,Male,ST,BSc,65975,"98825 Page Stream Suite 377
Ramirezstad, MN 37295",scheme_A
