model,pk,fields.name,fields.user,fields.age,fields.date_of_birth,fields.email,fields.aadhar_no,fields.ration_no,fields.gender,fields.caste,fields.education,fields.annual_income,fields.address,fields.scheme
base.applicant,601,Chelsey Porter,,15,31-08-2012,ann85@example.com,9.10E+11,9463217390,Female,MBC,Others,8729,"6007 Christopher Freeway
Lake Jerry, MH 50663",scheme_B
base.applicant,602,Brandi Yu,,16,26-12-2013,hobbsjane@example.net,7.48E+11,5633909094,Female,MBC,Others,17540,"82543 Rose Viaduct
Walterberg, GA 62466",scheme_B
base.applicant,603,Lisa Cox,,17,20-05-2017,kathleen99@example.com,8.97E+11,6727663335,Female,SC,Others,16890,"97467 Welch Station Suite 403
Huertachester, NE 25213",scheme_B
base.applicant,604,Nicole Hanson,,16,29-09-2014,vburke@example.net,3.27E+11,4280307526,Female,ST,School,13902,"12403 Chelsea Islands
West Matthew, KS 62898",scheme_B
base.applicant,605,Kara Weber,,8,13-07-2012,jeffrey68@example.net,8.64E+11,1039795020,Female,ST,School,14984,"7526 Anthony Lights
East Joshua, KY 94912",scheme_B
base.applicant,606,Joseph Soto II,,7,15-08-2012,suttonharry@example.net,3.51E+11,6651371958,Female,SC,Others,17735,"2471 Clarke Spur
Sarahville, NY 73307",scheme_B
base.applicant,607,Karen Webb,,6,26-10-2014,olivia28@example.net,4.01E+11,1883271142,Female,OBC,School,2817,"15069 Martinez Fall Suite 661
Lake Robert, SC 25440",scheme_B
base.applicant,608,Ronnie Sanchez,,5,17-06-2013,tonya86@example.com,5.14E+11,3575690320,Female,ST,Others,822,"94143 Sylvia Circles Suite 290
North Madelineshire, WA 62379",scheme_B
base.applicant,609,Melody White,,10,08-02-2013,matthew38@example.net,5.43E+11,5633037694,Female,OBC,School,3366,"PSC 7447, Box 1871
APO AE 16260",scheme_B
base.applicant,610,James Ortega,,14,28-12-2017,cwillis@example.net,9.07E+11,8409072149,Female,MBC,School,1519,"2670 Garrett Roads
East Christopherland, AL 86652",scheme_B
base.applicant,611,Richard Wong,,9,13-02-2014,lpalmer@example.org,8.39E+11,3896403153,Female,ST,Others,4595,"4674 Robert Throughway Apt. 393
Veronicafurt, ME 86393",scheme_B
base.applicant,612,John Griffin,,10,10-12-2014,sperkins@example.net,6.93E+11,1152324893,Female,ST,Others,3192,"USNS Schmidt
FPO AA 81406",scheme_B
