model,pk,fields.name,fields.user,fields.age,fields.date_of_birth,fields.email,fields.aadhar_no,fields.ration_no,fields.gender,fields.caste,fields.education,fields.annual_income,fields.address,fields.scheme
base.applicant,1201,Morgan Rivera,,83,04-02-1937,rileygregory@example.com,4.52708E+11,2913990808,Female,ST,BSc,36087,"54608 Blankenship Road
East Jeremytown, MO 78465",scheme_E
base.applicant,1202,Vincent Chang,,87,07-03-1939,angela71@example.com,7.4778E+11,3297416686,Male,SC,Others,25421,"54387 Waters Mountain
Port Jeremy, PW 95873",scheme_E
base.applicant,1203,Christopher Ortiz,,81,06-04-1949,jose46@example.org,7.67946E+11,5950456693,Male,OBC,MCA,27946,"68225 Anna Ways Apt. 835
Edwardchester, MI 46057",scheme_E
base.applicant,1204,Patricia Flores,,62,13-04-1955,jacqueline89@example.com,7.79583E+11,6545234483,Male,MBC,BE,48970,"9087 Stephanie Plains Suite 588
New Juanstad, WV 31305",scheme_E
base.applicant,1205,Cindy Whitehead,,77,30-06-1941,mosleyangela@example.net,2.00676E+11,4899981917,Female,OBC,MSc,11937,"395 Edward Wall Apt. 580
Monicaport, NV 06614",scheme_E
base.applicant,1206,Spencer Rodriguez,,83,11-10-1955,amandafitzpatrick@example.org,5.187E+11,4891879509,Female,SC,Others,36397,"PSC 9171, Box 9263
APO AA 39984",scheme_E
base.applicant,1207,Ashley Arnold,,94,09-04-1954,kylebush@example.net,2.63463E+11,7415133199,Female,MBC,BE,28024,"558 Rios Corner
New Jessica, CT 15692",scheme_E
base.applicant,1208,Miranda Sims,,72,05-07-1958,kristen90@example.net,6.89864E+11,5869821777,Female,OBC,Others,48489,"917 Charles Falls Suite 916
Lake Megan, PA 19717",scheme_E
base.applicant,1209,Jonathan Jennings,,70,19-11-1924,lori93@example.org,5.67669E+11,4345962539,Male,MBC,MCA,28672,"103 Jones Ways Apt. 532
Leslieburgh, HI 86736",scheme_E
base.applicant,1210,Juan Robertson,,84,12-06-1936,ngomez@example.com,7.56507E+11,8540843042,Female,ST,BSc,43895,"76031 Robert Wall Apt. 555
West Emily, MD 88188",scheme_E
base.applicant,1211,Vanessa Davis,,90,26-02-1949,heathersmith@example.com,4.55408E+11,3454032057,Male,SC,School,49290,"378 George Ramp
Port Zacharyshire, AL 73250",scheme_E
base.applicant,1212,Andrea Saunders,,81,07-05-1932,lanematthew@example.net,4.89883E+11,9785241346,Male,SC,BCA,14660,"87249 Tamara Avenue
East Helen, GU 45499",scheme_E
base.applicant,1213,Mark Jacobs,,77,07-05-1926,randy84@example.net,8.21238E+11,2992077035,Female,OBC,BCA,49788,"4559 Samantha Vista
North Kevin, VI 63334",scheme_E
base.applicant,1214,Amy Wells,,97,22-11-1948,david76@example.org,4.59537E+11,7380127275,Female,MBC,BE,49223,"43765 Jordan Alley Suite 182
Lake Nicholas, OH 51285",scheme_E
base.applicant,1215,Alan Evans,,97,30-03-1941,abrandt@example.com,4.2765E+11,1976366201,Female,ST,Others,32290,"120 Jessica Coves Suite 822
New Caitlin, DE 67057",scheme_E
base.applicant,1216,Jacob Nguyen,,95,20-11-1963,ian14@example.com,2.63754E+11,6808496868,Male,OBC,MSc,33482,"89614 Dennis Inlet
Port Holly, NY 97736",scheme_E
base.applicant,1217,John Jones,,75,11-04-1928,shannon49@example.net,1.1177E+11,7580946463,Male,OBC,MCA,16119,"8153 Lucas Lodge Apt. 340
South Whitneyburgh, VI 33797",scheme_E
base.applicant,1218,Elizabeth Taylor,,88,17-06-1935,bsnyder@example.org,6.74014E+11,2210111689,Female,OBC,Others,31461,"438 Courtney Haven Suite 028
West Carol, ID 38651",scheme_E
base.applicant,1219,James Collins,,65,29-04-1951,kellyrodriguez@example.net,8.96048E+11,2413371058,Male,SC,MCA,27969,"1661 John Rapids Suite 065
Johnview, GU 42065",scheme_E
base.applicant,1220,Leslie Robinson,,70,10-11-1957,zgray@example.net,9.62161E+11,1774845786,Female,OBC,School,28481,"078 Tonya Forks Suite 115
Jennaport, ME 59091",scheme_E
base.applicant,1221,Gregory Bell,,67,28-11-1948,msmith@example.com,8.62843E+11,9360785786,Female,MBC,BCA,11845,"15120 Sharon Loaf Apt. 446
Michaelport, MO 44802",scheme_E
base.applicant,1222,David Garrett,,61,27-05-1951,staylor@example.org,9.61508E+11,6466299454,Female,ST,School,14449,"0877 Jessica Mews Suite 506
Charlesbury, MN 28313",scheme_E
base.applicant,1223,Daniel Hester,,92,28-10-1952,brian10@example.com,8.19565E+11,4444151158,Male,MBC,MSc,49156,"27590 John Pines
Andersonchester, SD 22356",scheme_E
base.applicant,1224,Lori Leonard,,61,02-01-1949,qcole@example.org,2.88615E+11,8199893498,Female,OBC,School,40450,"6631 Marquez Alley
New Laura, PW 59691",scheme_E
base.applicant,1225,Mary Williams,,100,02-09-1932,garyharvey@example.org,4.37116E+11,8203771566,Male,OBC,MCA,48906,"788 Figueroa Cove Apt. 828
North Thomas, PR 82193",scheme_E
base.applicant,1226,Amanda Kim,,62,05-12-1932,jon06@example.net,2.09121E+11,3917762524,Female,SC,BE,48729,"82308 Julia Islands
Sarastad, ND 48015",scheme_E
base.applicant,1227,Christopher Gonzalez,,69,22-06-1929,kpham@example.com,5.97189E+11,7887698823,Male,SC,School,19259,"548 Wyatt Mountain
East Juanbury, DC 07363",scheme_E
base.applicant,1228,Elizabeth Velasquez,,63,03-08-1951,david26@example.net,7.42647E+11,1290850193,Male,MBC,BSc,47195,"4062 Mcdaniel Mount
Smithhaven, WA 64989",scheme_E
base.applicant,1229,Jessica Williams,,86,30-11-1963,gporter@example.org,4.00849E+11,8318004362,Female,MBC,BSc,26342,"6597 Pacheco Plains Suite 850
Grimesville, MN 37816",scheme_E
